file_name,label,findings,safe_secret_refs_detected
kube-linter__tests_checks_pdb-min-available.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_pod-logs_default_test-plan.yaml,secure,,
examples___archived_volumes_vsphere_vsphere-volume-pvcpod.yaml,secure,,
argo-cd__resource_customizations_numaplane.numaproj.io_NumaflowControllerRollout_testdata_NumaflowControllerRollout_healthy.yaml,secure,,
kube-linter__tests_checks_no-liveness-probe.yml,secure,,
argo-cd__resource_customizations_cdi.kubevirt.io_DataVolume_testdata_progressing_containercreating.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_sharded-kube-state-metrics_kind-cluster-config.yaml,secure,,
cloud-on-k8s__hack_upgrade-test-harness_testdata_v220_install.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name;safe_value_from
argo-cd__cmpserver_plugin_testdata_kustomize_cm.yaml,secure,,
argo-cd__resource_customizations_cluster.x-k8s.io_MachineDeployment_testdata_progressing_ScalingUp.yaml,secure,,
argo-cd__resource_customizations__.cnrm.cloud.google.com___testdata_config-connector-context-unhealthy.yaml,secure,,
argo-cd__resource_customizations_core.spinkube.dev_SpinApp_testdata_progressing.yaml,secure,,
argo-cd__resource_customizations__.upbound.io___testdata_providerconfig_healthy.yaml,secure,,
argo-cd__resource_customizations_policy.open-cluster-management.io_ConfigurationPolicy_testdata_healthy_found.yaml,secure,,
kubernetes-native-testbed__manifests_infra_kubedb_kubedb-catalog.yaml,privilege_exposure,privileged_true;allow_privilege_escalation_true,
argo-cd__resource_customizations_policy.open-cluster-management.io_Policy_testdata_degraded_root.yaml,secure,,
argo-cd__resource_customizations_gateway.solo.io_RouteTable_testdata_non-namespaced-gloo-pending.yaml,secure,,
argo-cd__resource_customizations_postgresql.cnpg.io_Cluster_testdata_cluster_suspended.yaml,hardcoded_secret,long_base64_like_value,
examples__databases_cassandra_cassandra-statefulset.yaml,secure,,safe_value_from
examples___archived_persistent-volume-provisioning_aws-ebs.yaml,secure,,
cloud-on-k8s__config_recipes_logstash_logstash-monitored.yaml,secure,,
argo-cd__test_e2e_testdata_guestbook-logs_kustomization.yaml,secure,,
argo-cd__resource_customizations_external-secrets.io_ClusterSecretStore_testdata_healthy.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_integrations_grafana_output.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_gateway.networking.k8s.io_GRPCRoute_testdata_progressing.yaml,secure,,
kubernetes-native-testbed__manifests_ns_rook-yugabytedb-system.yaml,secure,,
argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_progressing_noStatus.yaml,secure,,
prometheus-operator__example_rbac_prometheus_prometheus-cluster-role.yaml,secure,,
argo-cd__applicationset_examples_design-doc_git-directory-discovery-fasttemplate.yaml,secure,,
kubernetes-native-testbed__manifests_cicd_cd-manifests_microservices_search-cd.yaml,secure,,
argo-cd__resource_customizations_snapshot.storage.k8s.io_VolumeSnapshotContent_testdata_initializing.yaml,secure,,
argo-cd__resource_customizations_operators.coreos.com_Subscription_testdata_install_plan_pending.yaml,secure,,
argo-cd__resource_customizations_argoproj.io_Rollout_actions_testdata_rollout-step1-after-skip-current-step.yaml,secure,,
charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafananotificationpolicies.yaml,secure,,
argo-cd__manifests_ha_base_controller-deployment_argocd-application-controller-statefulset.yaml,secure,,
kubernetes-native-testbed__manifests_infra_elastic-cloud-operator_elastic-cloud-operator.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name;safe_value_from
cloud-on-k8s__config_crds_v1_resources_beat.k8s.elastic.co_beats.yaml,privilege_exposure,host_path;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
argo-cd__resource_customizations_keda.sh_ScaledObject_actions_testdata_scaledobject-resume.yaml,secure,,
argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDashboard_testdata_progressing.yaml,secure,,
charts__bitnami_kube-prometheus_charts_kube-prometheus-crds_crds_crd-alertmanagers.yaml,privilege_exposure,host_path;hardcoded_password;hardcoded_token;hardcoded_api_key;hardcoded_client_secret;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
argo-cd__manifests_base_applicationset-controller_argocd-applicationset-controller-rolebinding.yaml,secure,,
cloud-on-k8s__config_recipes_elastic-agent_synthetic-monitoring.yaml,secure,,
examples___archived_javaee_mysql-service.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_destinations_loki-stdout_test_workload.yaml,secure,,
argo-cd__gitops-engine_pkg_health_testdata_pod-error.yaml,hardcoded_secret,long_base64_like_value,safe_secret_name
prometheus-operator__example_admission-webhook_service-monitor.yaml,secure,,
argo-cd__resource_customizations_clickhouse-keeper.altinity.com_ClickHouseKeeperInstallation_testdata_progressing_inprogress.yaml,secure,,
cloud-on-k8s__config_crds_v1_resources_kibana.k8s.elastic.co_kibanas.yaml,privilege_exposure,host_path;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
charts__bitnami_kube-prometheus_charts_kube-prometheus-crds_crds_crd-probes.yaml,hardcoded_secret,hardcoded_password;hardcoded_client_secret,
argo-cd__manifests_base_application-controller-deployment_kustomization.yaml,secure,,
argo-cd__gitops-engine_pkg_health_testdata_apiservice-v1beta1-true.yaml,secure,,
argo-cd__resource_customizations_gateway.networking.k8s.io_GRPCRoute_testdata_healthy.yaml,secure,,
examples__web_guestbook-go_redis-replica-controller.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_pod-logs_secret-filter_.rendered_output.yaml,hardcoded_secret,hardcoded_password,
argo-cd__resource_customizations_apps.openshift.io_DeploymentConfig_testdata_progressing.yaml,secure,,
prometheus-operator__example_rbac_prometheus_prometheus-service-account.yaml,secure,,
argo-cd__resource_customizations_nmstate.io_NodeNetworkConfigurationPolicy_testdata_suspended_noMatchingNode.yaml,secure,,
argo-cd__resource_customizations_zookeeper.pravega.io_ZookeeperCluster_testdata_progressing.yaml,secure,,
argo-cd__resource_customizations_rds.aws.crossplane.io_DBInstance_testdata_healthy.yaml,secure,,
examples___archived_storage_minio_minio-distributed-headless-service.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_rbac-no-cluster-roles_test_test-plan.yaml,secure,,
argo-cd__resource_customizations_source.toolkit.fluxcd.io_HelmChart_actions_testdata_reconciled_helmchart.yaml,secure,,
prometheus-operator__example_prometheus-operator-crd_monitoring.coreos.com_alertmanagers.yaml,privilege_exposure,host_path;hardcoded_password;hardcoded_token;hardcoded_api_key;hardcoded_client_secret;long_base64_like_value,safe_secret_name;safe_secret_key_ref;safe_value_from;safe_env_from;safe_secret_ref;safe_image_pull_secrets
cloud-on-k8s__hack_deployer_config_local-disks_ssd-provisioner.yaml,privilege_exposure,privileged_true;host_path,safe_value_from
argo-cd__test_e2e_testdata_cmp-find-command_plugin.yaml,secure,,
examples___archived_volumes_flocker_flocker-pod-with-rc.yml,secure,,
kubernetes-native-testbed__manifests_infra_prometheus-operator_instance.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;long_base64_like_value,safe_value_from
argo-cd__resource_customizations_promoter.argoproj.io_PromotionStrategy_testdata_different-proposed-commits.yaml,hardcoded_secret,long_base64_like_value,
kube-linter__tests_checks_hpa-minimum-three-replicas.yml,secure,,
examples___archived_spark_spark-master-controller.yaml,secure,,
argo-cd__resource_customizations_elasticsearch.k8s.elastic.co_Elasticsearch_testdata_ready_red.yaml,secure,,
argo-cd__manifests_base_config_argocd-tls-certs-cm.yaml,secure,,
argo-cd__resource_customizations_pxc.percona.com_PerconaXtraDBCluster_testdata_paused.yaml,secure,,
argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_progressing_new.yaml,secure,,
charts__bitnami_argo-workflows_crds_argoproj.io_sensors.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_CommitStatus_testdata_success.yaml,secure,,
cloud-on-k8s__pkg_controller_autoscaling_elasticsearch_testdata_custom_resource_min-nodes-increased-by-user_autoscaler-expected.yml,secure,,
argo-cd__resource_customizations_lifecycle.keptn.sh_KeptnAppVersion_testdata_healthy.yaml,secure,,
charts__bitnami_whereabouts_crds_whereabouts.cni.cncf.io_overlappingrangeipreservations.yaml,hardcoded_secret,long_base64_like_value,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_meta-monitoring_output.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;long_base64_like_value,
argo-cd__resource_customizations_batch_CronJob_actions_testdata_cronjob-resumed.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_metric-enrichment_namespace-and-pod-labels_output.yaml,privilege_exposure,host_network_true;host_pid_true;host_path;long_base64_like_value,
examples___archived_volumes_azure_disk_claim_blob-based-disk_account-specified-hdd_storageclass-account-hdd.yaml,secure,,
argo-cd__gitops-engine_pkg_diff_testdata_smd-service-config.yaml,secure,,
argo-cd__resource_customizations_numaflow.numaproj.io_Pipeline_actions_testdata_pipeline-unpause-gradual.yaml,secure,,
prometheus-operator__example_admission-webhook_pod-disruption-budget.yaml,secure,,
argo-cd__test_e2e_testdata_cmp-gitcreds_plugin.yaml,secure,,
argo-cd__resource_customizations_capabilities.3scale.net_ActiveDoc_testdata_degraded-invalid.yaml,secure,,
examples__AI_model-serving-tensorflow_pvc.yaml,secure,,
argo-cd__resource_customizations_argoproj.io_Rollout_actions_testdata_has_pause_condition_rollout_aborted.yaml,secure,,
argo-cd__resource_customizations_capabilities.3scale.net_Application_testdata_progressing.yaml,secure,,
argo-cd__resource_customizations_helm.toolkit.fluxcd.io_HelmRelease_actions_testdata_initial_helmrelease.yaml,secure,,
cloud-on-k8s__config_recipes_gclb_01-elastic-stack.yaml,secure,,
argo-cd__resource_customizations_jaegertracing.io_Jaeger_testdata_progressing.yaml,secure,,
argo-cd__resource_customizations_operator.openshift.io_IngressController_testdata_healthy.yaml,hardcoded_secret,long_base64_like_value,
argo-cd__resource_customizations_numaplane.numaproj.io_ISBServiceRollout_testdata_ISBServiceRollout_degraded.yaml,secure,,
cloud-on-k8s__pkg_controller_autoscaling_elasticsearch_testdata_custom_resource_max-storage-reached_elasticsearch-expected.yml,secure,,
argo-cd__gitops-engine_pkg_health_testdata_hpa-v1-progressing.yaml,secure,,
argo-cd__resource_customizations_promoter.argoproj.io_CommitStatus_testdata_non-reconciliation-error.yaml,secure,,
argo-cd__test_e2e_testdata_multi-namespace_deployment.yaml,secure,,
k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_tail-sampling_dependencies_alloy-instrumented.yaml,secure,,
argo-cd__resource_customizations_coralogix.com_RecordingRuleGroupSet_testdata_degraded_recording_rule.yaml,secure,,
